sample_id,campaign,timestamp,Pt_percent,Ru_percent,Ir_percent,overpotential_V,tafel_slope_mV_dec,exchange_current_A_cm2,charge_transfer_resistance_Ohm_cm2,surface_area_m2_g,temperature_C,pH,replicate_std,measurement_quality,operator,instrument_id
CAT-02-025,2,2025-02-03 00:00:00,62.6,34.0,3.4,0.2733,33.6,0.00011527906841918173,8.68,43.6,24.6,1.04,0.0246,1,Charlie,POTENTIOSTAT-02
CAT-02-026,2,2025-02-03 02:00:00,79.2,39.0,-18.2,0.2174,52.8,6.545435440671831e-06,165.38,91.7,24.97,1.01,0.011,1,Bob,POTENTIOSTAT-02
CAT-02-027,2,2025-02-03 04:00:00,46.6,35.7,17.7,,,,43.56,58.1,25.2,1.02,0.0086,0,Charlie,POTENTIOSTAT-02
CAT-02-028,2,2025-02-03 06:00:00,68.0,13.5,18.5,0.1929,40.5,1.0110284183189367e-05,100.52,93.6,25.14,1.1,0.0079,1,Charlie,POTENTIOSTAT-02
CAT-02-029,2,2025-02-03 08:00:00,63.4,32.2,4.4,0.2735,80.6,9.071882596860212e-07,1071.26,77.5,25.11,1.04,0.0057,1,Alice,POTENTIOSTAT-02
CAT-02-030,2,2025-02-03 10:00:00,63.5,19.6,17.0,0.3645,107.3,1.9933145146945377e-05,46.33,101.9,25.01,1.1,0.0181,1,Bob,POTENTIOSTAT-02
CAT-02-031,2,2025-02-03 12:00:00,67.9,39.7,-7.6,,,,52.67,49.9,25.24,1.02,0.0105,0,Alice,POTENTIOSTAT-02
CAT-02-032,2,2025-02-03 14:00:00,77.2,24.6,-1.7,,,,18.46,90.1,24.13,0.97,0.0297,0,Bob,POTENTIOSTAT-02
CAT-02-033,2,2025-02-03 16:00:00,71.3,13.7,15.0,,,,65.49,62.3,24.77,1.02,0.0194,0,Alice,POTENTIOSTAT-02
CAT-02-034,2,2025-02-03 18:00:00,42.2,31.8,26.0,,,,325.01,108.2,24.97,0.92,0.0084,0,Charlie,POTENTIOSTAT-02
CAT-02-035,2,2025-02-03 20:00:00,74.1,19.7,6.2,0.1928,64.5,1.0074873217509926e-05,117.22,114.3,25.21,0.96,0.0222,1,Alice,POTENTIOSTAT-02
CAT-02-036,2,2025-02-03 22:00:00,49.0,39.9,11.1,0.2404,30.0,9.498853620124876e-05,9.38,119.7,25.45,1.02,0.0274,1,Bob,POTENTIOSTAT-02
CAT-02-037,2,2025-02-04 00:00:00,55.1,39.4,5.5,0.2683,65.9,6.998899784638291e-06,164.56,103.7,24.73,1.02,0.0236,1,Bob,POTENTIOSTAT-02
CAT-02-038,2,2025-02-04 02:00:00,58.5,29.7,11.8,0.308,91.9,9.453367483268455e-05,11.88,100.3,25.44,0.99,0.0069,1,Charlie,POTENTIOSTAT-02
CAT-02-039,2,2025-02-04 04:00:00,59.2,13.9,26.9,,,,13.92,57.2,24.86,0.86,0.0274,1,Bob,POTENTIOSTAT-02
CAT-02-040,2,2025-02-04 06:00:00,57.4,30.6,12.0,0.2136,30.0,1.6363092489468706e-05,64.17,66.9,24.96,1.06,0.0248,1,Alice,POTENTIOSTAT-02
CAT-02-041,2,2025-02-04 08:00:00,77.5,12.8,9.7,0.227,64.8,9.582361744783871e-06,96.7,77.3,25.17,1.08,0.009,1,Charlie,POTENTIOSTAT-02
CAT-02-042,2,2025-02-04 10:00:00,68.2,10.9,20.9,,,,18.7,101.9,24.94,1.16,0.0063,1,Bob,POTENTIOSTAT-02
CAT-02-043,2,2025-02-04 12:00:00,65.2,34.7,0.1,0.2596,81.7,1.4468651055385082e-05,69.16,113.2,25.33,1.04,0.0189,1,Bob,POTENTIOSTAT-02
CAT-02-044,2,2025-02-04 14:00:00,42.0,16.3,41.7,,,,294.05,55.1,24.88,1.0,0.0089,0,Alice,POTENTIOSTAT-02
CAT-02-045,2,2025-02-04 16:00:00,76.2,21.4,2.5,0.2132,73.0,4.515343582626613e-05,20.49,113.8,24.88,0.9,0.0259,1,Alice,POTENTIOSTAT-02
CAT-02-046,2,2025-02-04 18:00:00,76.4,39.2,-15.6,0.2013,86.1,4.036660027993651e-05,29.09,95.6,25.32,1.15,0.014,1,Charlie,POTENTIOSTAT-02
CAT-02-047,2,2025-02-04 20:00:00,71.2,20.1,8.7,0.198,46.5,9.394359755678876e-05,12.14,88.9,24.77,1.02,0.0278,1,Bob,POTENTIOSTAT-02
CAT-02-048,2,2025-02-04 22:00:00,40.3,18.9,40.8,0.2822,41.6,2.5730654709537577e-05,46.36,56.0,25.07,1.02,0.0191,1,Alice,POTENTIOSTAT-02
CAT-02-049,2,2025-02-05 00:00:00,42.3,37.5,20.2,0.293,54.9,8.6986910772203e-06,120.85,44.4,24.5,0.97,0.0096,1,Charlie,POTENTIOSTAT-02
CAT-02-050,2,2025-02-05 02:00:00,49.0,13.3,37.7,0.2627,65.6,8.117373170044581e-05,11.08,85.5,25.55,0.97,0.0085,1,Bob,POTENTIOSTAT-02
CAT-02-051,2,2025-02-05 04:00:00,45.3,32.8,22.0,0.3088,40.3,7.343962208919246e-05,11.78,92.1,25.36,1.07,0.0194,1,Bob,POTENTIOSTAT-02
CAT-02-052,2,2025-02-05 06:00:00,56.0,39.6,4.4,0.2651,47.8,2.4339071834978343e-05,35.94,56.9,25.83,0.9,0.024,1,Charlie,POTENTIOSTAT-02
CAT-02-053,2,2025-02-05 08:00:00,76.9,37.0,-13.9,0.2507,71.4,2.1314962534322096e-05,37.9,84.5,25.4,1.16,0.0245,1,Charlie,POTENTIOSTAT-02
CAT-02-054,2,2025-02-05 10:00:00,58.9,29.6,11.6,0.2504,64.2,4.341053521374999e-06,220.29,108.5,24.66,1.14,0.0119,1,Alice,POTENTIOSTAT-02
CAT-02-055,2,2025-02-05 12:00:00,40.5,19.4,40.0,0.3082,54.5,7.584577595705257e-06,115.57,106.8,25.2,0.96,0.0101,1,Bob,POTENTIOSTAT-02
CAT-02-056,2,2025-02-05 14:00:00,51.3,17.6,31.1,0.2671,30.0,4.426999226237232e-05,21.79,114.2,24.72,0.91,0.0054,1,Bob,POTENTIOSTAT-02
CAT-02-057,2,2025-02-05 16:00:00,41.8,34.6,23.6,0.2922,59.8,8.64814091612914e-06,135.75,69.3,25.47,0.8,0.022,1,Bob,POTENTIOSTAT-02
CAT-02-058,2,2025-02-05 18:00:00,41.5,36.4,22.2,0.3038,30.9,2.910469896629709e-06,334.04,65.4,24.67,0.87,0.0069,1,Charlie,POTENTIOSTAT-02
CAT-02-059,2,2025-02-05 20:00:00,51.0,25.8,23.2,0.2689,89.2,0.001023471907043837,1.12,100.0,24.66,1.07,0.0155,1,Alice,POTENTIOSTAT-02
CAT-02-060,2,2025-02-05 22:00:00,51.0,17.3,31.6,0.2686,50.4,3.396840796585036e-06,306.82,74.5,24.52,1.03,0.02,1,Bob,POTENTIOSTAT-02
CAT-02-061,2,2025-02-06 00:00:00,71.5,13.4,15.1,0.2356,30.0,0.00028651856471712065,3.14,47.0,24.85,1.05,0.0284,1,Charlie,POTENTIOSTAT-02
CAT-02-062,2,2025-02-06 02:00:00,79.0,12.6,8.4,0.2019,57.2,1.747897110855185e-05,53.91,62.6,24.79,0.82,0.0128,1,Bob,POTENTIOSTAT-02
CAT-02-063,2,2025-02-06 04:00:00,54.8,31.6,13.6,,,,49.37,73.5,24.62,0.96,0.0112,0,Alice,POTENTIOSTAT-02
CAT-02-064,2,2025-02-06 06:00:00,57.2,22.6,20.2,,,,95.02,63.4,25.6,1.14,0.0214,0,Bob,POTENTIOSTAT-02
CAT-02-065,2,2025-02-06 08:00:00,73.8,37.2,-11.0,,,,21.86,66.6,25.16,0.99,0.0205,0,Alice,POTENTIOSTAT-02
CAT-02-066,2,2025-02-06 10:00:00,50.7,32.2,17.1,0.2877,30.0,3.1970460697059297e-06,259.25,63.5,25.12,0.87,0.0133,1,Alice,POTENTIOSTAT-02
CAT-02-067,2,2025-02-06 12:00:00,46.3,15.7,38.0,0.2496,108.1,2.4018139289819265e-06,367.29,43.3,25.48,0.99,0.0282,1,Bob,POTENTIOSTAT-02
CAT-02-068,2,2025-02-06 14:00:00,74.1,28.4,-2.5,0.247,40.8,0.00012912052926177922,7.38,91.0,25.08,0.92,0.0261,1,Bob,POTENTIOSTAT-02
CAT-02-069,2,2025-02-06 16:00:00,41.9,23.1,35.1,0.2652,87.7,7.3717876644211e-06,161.81,87.8,24.78,1.03,0.0106,1,Alice,POTENTIOSTAT-02
CAT-02-070,2,2025-02-06 18:00:00,64.8,27.3,7.9,0.2686,49.9,4.323191042683238e-05,25.77,92.3,24.49,1.0,0.011,1,Charlie,POTENTIOSTAT-02
CAT-02-071,2,2025-02-06 20:00:00,62.5,32.1,5.4,0.2721,84.8,5.16453808733898e-06,211.71,55.4,24.76,1.05,0.0178,1,Alice,POTENTIOSTAT-02
CAT-02-072,2,2025-02-06 22:00:00,53.8,34.2,12.0,,,,22.0,63.7,25.45,0.88,0.0243,0,Bob,POTENTIOSTAT-02
CAT-02-073,2,2025-02-07 00:00:00,52.6,35.3,12.1,0.2732,79.2,0.00012455187994954377,8.93,89.6,24.62,0.96,0.0061,1,Bob,POTENTIOSTAT-02
CAT-02-074,2,2025-02-07 02:00:00,70.9,17.6,11.5,,,,97.18,88.0,25.11,1.11,0.0223,0,Charlie,POTENTIOSTAT-02
CAT-02-075,2,2025-02-07 04:00:00,43.5,10.9,45.6,0.2954,57.0,1.7476236781098726e-06,595.35,80.5,25.31,0.86,0.0212,1,Alice,POTENTIOSTAT-02
CAT-02-076,2,2025-02-07 06:00:00,49.5,32.2,18.3,0.2949,46.9,0.00011338933992004066,10.55,68.0,25.09,0.9,0.0108,1,Alice,POTENTIOSTAT-02
CAT-02-077,2,2025-02-07 08:00:00,69.3,13.2,17.5,0.2115,63.3,6.920194436030026e-05,13.44,113.0,25.12,1.02,0.022,1,Alice,POTENTIOSTAT-02
CAT-02-078,2,2025-02-07 10:00:00,61.9,19.4,18.6,0.2512,49.3,1.1502371158389905e-05,102.28,67.2,25.2,1.03,0.0285,1,Bob,POTENTIOSTAT-02
CAT-02-079,2,2025-02-07 12:00:00,45.1,10.1,44.8,,,,91.75,76.4,25.11,0.95,0.0062,0,Alice,POTENTIOSTAT-02
CAT-02-080,2,2025-02-07 14:00:00,75.3,30.5,-5.7,0.2738,30.0,4.978529977248219e-06,161.61,94.2,25.48,0.97,0.013,1,Charlie,POTENTIOSTAT-02
CAT-02-081,2,2025-02-07 16:00:00,55.7,15.0,29.2,0.251,89.6,0.00010187420276378048,9.62,83.4,24.69,1.05,0.016,1,Bob,POTENTIOSTAT-02
CAT-02-082,2,2025-02-07 18:00:00,73.1,29.7,-2.8,,,,110.03,67.8,25.07,1.08,0.0275,0,Bob,POTENTIOSTAT-02
CAT-02-083,2,2025-02-07 20:00:00,71.5,39.8,-11.3,0.2678,66.6,3.589856832238153e-06,234.34,74.9,24.45,0.89,0.0291,1,Alice,POTENTIOSTAT-02
CAT-02-084,2,2025-02-07 22:00:00,65.0,12.2,22.8,,,,34.22,103.6,24.38,1.04,0.0161,0,Charlie,POTENTIOSTAT-02
CAT-02-085,2,2025-02-08 00:00:00,59.8,12.3,27.9,0.2777,68.7,6.524783335353333e-06,182.62,62.3,24.98,1.15,0.0238,1,Bob,POTENTIOSTAT-02
CAT-02-086,2,2025-02-08 02:00:00,79.2,20.2,0.6,0.1897,39.8,8.047901946403037e-06,127.01,51.4,25.16,0.99,0.0183,1,Bob,POTENTIOSTAT-02
CAT-02-087,2,2025-02-08 04:00:00,45.8,36.0,18.2,0.3099,68.9,9.227945438662278e-06,94.92,65.1,25.49,0.89,0.0184,1,Alice,POTENTIOSTAT-02
CAT-02-088,2,2025-02-08 06:00:00,69.0,16.5,14.5,0.2337,53.8,2.3755670627856147e-05,43.48,108.0,25.73,0.89,0.012,1,Alice,POTENTIOSTAT-02
CAT-02-089,2,2025-02-08 08:00:00,47.6,20.8,31.5,0.275,74.8,3.626731046792477e-06,243.13,47.1,25.4,0.98,0.0104,1,Charlie,POTENTIOSTAT-02
CAT-02-090,2,2025-02-08 10:00:00,53.5,12.1,34.4,0.3076,84.5,7.53933526395336e-05,13.37,119.3,25.22,1.1,0.0122,1,Alice,POTENTIOSTAT-02
CAT-02-091,2,2025-02-08 12:00:00,52.3,32.9,14.8,,,,21.02,83.3,25.05,1.0,0.0189,0,Charlie,POTENTIOSTAT-02
CAT-02-092,2,2025-02-08 14:00:00,77.9,22.2,-0.1,,,,66.47,118.8,24.54,1.02,0.0057,0,Bob,POTENTIOSTAT-02
CAT-02-093,2,2025-02-08 16:00:00,78.7,32.8,-11.5,0.253,51.9,6.955774407572962e-06,144.73,115.1,24.96,0.9,0.0277,1,Charlie,POTENTIOSTAT-02
CAT-02-094,2,2025-02-08 18:00:00,47.3,37.1,15.6,0.3093,73.4,1.3701433706170536e-05,80.0,76.2,25.39,1.1,0.0089,1,Charlie,POTENTIOSTAT-02
CAT-02-095,2,2025-02-08 20:00:00,40.9,17.0,42.1,0.3091,78.6,4.281021032555199e-05,24.58,55.9,25.27,0.89,0.0105,1,Charlie,POTENTIOSTAT-02
CAT-02-096,2,2025-02-08 22:00:00,68.8,34.2,-3.0,0.2504,70.5,4.693839317781163e-05,21.73,53.2,24.61,0.95,0.018,1,Bob,POTENTIOSTAT-02
CAT-02-097,2,2025-02-09 00:00:00,56.7,11.8,31.5,0.2548,56.3,6.60232199679622e-05,16.3,59.2,25.18,1.06,0.0228,1,Alice,POTENTIOSTAT-02
CAT-02-098,2,2025-02-09 02:00:00,43.6,37.0,19.5,0.3384,45.7,7.63874444057511e-06,112.27,96.8,25.16,0.8,0.0074,1,Bob,POTENTIOSTAT-02
CAT-02-099,2,2025-02-09 04:00:00,67.4,29.5,3.1,0.2287,51.2,7.589092896964368e-07,1367.94,61.8,25.1,1.02,0.0129,1,Alice,POTENTIOSTAT-02
CAT-02-100,2,2025-02-09 06:00:00,61.8,36.2,2.0,0.2618,106.6,7.947566390917761e-05,10.93,67.3,24.99,0.9,0.0292,1,Charlie,POTENTIOSTAT-02
CAT-02-101,2,2025-02-09 08:00:00,79.2,10.0,10.8,,,,61.03,75.9,25.2,1.0,0.0116,0,Charlie,POTENTIOSTAT-02
CAT-02-102,2,2025-02-09 10:00:00,49.1,15.1,35.8,0.2639,38.1,4.0296045580489905e-05,20.53,113.1,25.21,0.96,0.0128,1,Charlie,POTENTIOSTAT-02
CAT-02-103,2,2025-02-09 12:00:00,56.2,21.7,22.1,0.2481,36.6,0.00013754232046056698,7.07,55.2,24.81,1.21,0.0259,1,Charlie,POTENTIOSTAT-02
CAT-02-104,2,2025-02-09 14:00:00,61.7,21.4,16.9,0.2616,63.7,0.00031193801088653554,3.46,40.4,25.14,0.96,0.0063,1,Charlie,POTENTIOSTAT-02
CAT-02-105,2,2025-02-09 16:00:00,71.7,16.8,11.5,0.2522,30.0,9.345799827828888e-06,105.2,44.8,24.94,1.18,0.0166,1,Alice,POTENTIOSTAT-02
CAT-02-106,2,2025-02-09 18:00:00,62.0,21.4,16.6,0.2435,30.0,2.399176530031213e-05,34.88,112.4,24.55,1.06,0.0145,1,Alice,POTENTIOSTAT-02
CAT-02-107,2,2025-02-09 20:00:00,64.5,13.9,21.6,0.2336,51.5,0.00010381787753299629,9.84,91.8,24.83,0.92,0.0129,1,Charlie,POTENTIOSTAT-02
CAT-02-108,2,2025-02-09 22:00:00,49.0,22.4,28.6,,,,146.29,61.8,24.53,1.03,0.0121,0,Bob,POTENTIOSTAT-02
CAT-02-109,2,2025-02-10 00:00:00,73.9,34.1,-7.9,0.2282,30.0,1.1284383802258567e-05,95.84,54.2,25.29,0.97,0.0073,1,Bob,POTENTIOSTAT-02
CAT-02-110,2,2025-02-10 02:00:00,57.1,24.4,18.5,0.2798,30.0,8.840457414760203e-06,107.38,63.5,25.11,1.02,0.0129,1,Charlie,POTENTIOSTAT-02
CAT-02-111,2,2025-02-10 04:00:00,45.6,10.5,43.8,,,,58.25,49.2,24.89,0.93,0.0061,0,Alice,POTENTIOSTAT-02
CAT-02-112,2,2025-02-10 06:00:00,66.6,22.6,10.8,,,,56.16,115.3,25.43,1.17,0.0245,0,Bob,POTENTIOSTAT-02
CAT-02-113,2,2025-02-10 08:00:00,48.6,10.8,40.5,0.2668,88.3,9.320500339161669e-06,114.67,102.7,25.02,1.09,0.015,1,Bob,POTENTIOSTAT-02
CAT-02-114,2,2025-02-10 10:00:00,43.9,39.0,17.1,0.32,117.8,4.755626096823171e-06,217.31,77.0,24.57,1.0,0.0161,1,Bob,POTENTIOSTAT-02
CAT-02-115,2,2025-02-10 12:00:00,74.5,13.8,11.7,0.2056,115.5,6.233087662082145e-05,16.21,109.2,24.87,1.17,0.0273,1,Charlie,POTENTIOSTAT-02
CAT-02-116,2,2025-02-10 14:00:00,58.4,31.2,10.4,0.2393,83.0,9.77783669514784e-05,9.2,60.0,25.49,1.01,0.0215,1,Bob,POTENTIOSTAT-02
CAT-02-117,2,2025-02-10 16:00:00,70.0,39.2,-9.2,0.2945,90.8,8.960963926342688e-05,8.94,97.4,24.8,1.11,0.0052,1,Bob,POTENTIOSTAT-02
CAT-02-118,2,2025-02-10 18:00:00,51.6,34.8,13.6,0.2558,63.5,1.1166413383130147e-05,77.88,108.5,25.08,1.0,0.0286,1,Bob,POTENTIOSTAT-02
CAT-02-119,2,2025-02-10 20:00:00,71.5,31.0,-2.5,0.2318,74.9,5.7980044042395514e-05,14.61,68.5,25.22,1.04,0.0109,1,Bob,POTENTIOSTAT-02
CAT-02-120,2,2025-02-10 22:00:00,44.5,35.2,20.3,0.299,118.3,2.0903126701468395e-05,46.87,100.6,25.18,0.99,0.0077,1,Alice,POTENTIOSTAT-02
CAT-02-121,2,2025-02-11 00:00:00,54.2,39.5,6.3,0.275,70.9,9.216889717561018e-06,113.37,63.6,25.73,1.01,0.0242,1,Charlie,POTENTIOSTAT-02
CAT-02-122,2,2025-02-11 02:00:00,79.1,28.6,-7.8,0.22,93.8,5.3350707108526845e-05,16.59,63.9,24.65,1.02,0.0175,1,Charlie,POTENTIOSTAT-02
CAT-02-123,2,2025-02-11 04:00:00,71.8,26.8,1.5,0.2437,31.4,1.0098794549214964e-05,116.41,48.6,24.68,0.93,0.0158,1,Alice,POTENTIOSTAT-02
CAT-02-124,2,2025-02-11 06:00:00,59.9,28.8,11.3,0.2122,39.1,1.540248420666184e-05,52.11,75.2,24.65,0.96,0.0112,1,Alice,POTENTIOSTAT-02
CAT-02-125,2,2025-02-11 08:00:00,53.6,26.0,20.4,0.2411,68.8,4.260527793827011e-06,260.28,98.4,24.91,0.98,0.0187,1,Charlie,POTENTIOSTAT-02
CAT-02-126,2,2025-02-11 10:00:00,74.9,29.1,-3.9,0.2292,63.8,1.2867882274992989e-05,81.6,115.2,25.33,1.02,0.0119,1,Bob,POTENTIOSTAT-02
CAT-02-127,2,2025-02-11 12:00:00,61.8,23.5,14.7,0.2421,40.8,2.7719528350501645e-05,34.25,88.3,24.69,1.0,0.0275,1,Bob,POTENTIOSTAT-02
CAT-02-128,2,2025-02-11 14:00:00,70.3,16.6,13.1,0.2291,131.5,0.00013371532055362183,6.13,109.1,25.33,1.12,0.0104,1,Charlie,POTENTIOSTAT-02
CAT-02-129,2,2025-02-11 16:00:00,70.2,13.6,16.2,0.2282,64.5,1.4682308660720727e-05,71.58,105.8,25.01,1.08,0.0271,1,Bob,POTENTIOSTAT-02
CAT-02-130,2,2025-02-11 18:00:00,40.7,12.1,47.2,,,,150.45,53.9,24.67,0.98,0.019,1,Alice,POTENTIOSTAT-02
CAT-02-131,2,2025-02-11 20:00:00,45.1,17.9,37.1,,,,13.26,78.9,24.47,1.14,0.0257,0,Bob,POTENTIOSTAT-02
CAT-02-132,2,2025-02-11 22:00:00,66.4,11.4,22.2,,,,78.09,49.4,24.54,1.19,0.0228,0,Bob,POTENTIOSTAT-02
CAT-02-133,2,2025-02-12 00:00:00,46.5,27.0,26.5,0.2687,65.3,2.445324071537333e-06,480.86,94.6,24.8,0.8,0.0224,1,Bob,POTENTIOSTAT-02
CAT-02-134,2,2025-02-12 02:00:00,50.2,18.5,31.3,0.2732,30.0,2.089849924871456e-05,42.5,116.0,24.95,1.09,0.0131,1,Charlie,POTENTIOSTAT-02
CAT-02-135,2,2025-02-12 04:00:00,77.9,34.7,-12.6,0.2291,98.0,1.5117990195990574e-05,72.12,51.0,25.4,0.93,0.0108,1,Alice,POTENTIOSTAT-02
CAT-02-136,2,2025-02-12 06:00:00,62.4,12.2,25.4,0.2632,100.1,0.00026532959799432086,3.95,98.7,25.24,1.08,0.0103,1,Bob,POTENTIOSTAT-02
CAT-02-137,2,2025-02-12 08:00:00,70.0,16.8,13.2,0.2308,103.4,3.768487410793714e-05,29.08,90.6,24.75,1.12,0.0264,1,Charlie,POTENTIOSTAT-02
CAT-02-138,2,2025-02-12 10:00:00,62.3,31.9,5.8,,,,60.42,86.7,25.12,0.91,0.0255,0,Bob,POTENTIOSTAT-02
CAT-02-139,2,2025-02-12 12:00:00,62.1,28.0,9.9,0.233,79.2,7.442099809713992e-06,143.24,71.2,25.5,0.81,0.016,1,Alice,POTENTIOSTAT-02
CAT-02-140,2,2025-02-12 14:00:00,43.8,11.9,44.3,0.2784,33.8,2.5600691913535902e-05,39.03,68.4,25.56,1.08,0.0083,1,Bob,POTENTIOSTAT-02
CAT-02-141,2,2025-02-12 16:00:00,53.7,36.3,9.9,,,,10.64,43.6,24.91,1.01,0.0146,0,Alice,POTENTIOSTAT-02
CAT-02-142,2,2025-02-12 18:00:00,51.3,36.3,12.4,,,,38.11,57.4,25.29,0.83,0.0205,0,Bob,POTENTIOSTAT-02
CAT-02-143,2,2025-02-12 20:00:00,55.6,19.9,24.5,,,,159.8,41.2,25.42,1.25,0.0164,0,Alice,POTENTIOSTAT-02
CAT-02-144,2,2025-02-12 22:00:00,71.9,20.2,7.9,0.2226,85.2,4.208645625908769e-05,19.81,86.5,24.55,1.06,0.0245,1,Bob,POTENTIOSTAT-02
CAT-02-145,2,2025-02-13 00:00:00,54.9,39.7,5.5,0.2757,86.9,1.6757585656135793e-05,67.01,48.5,24.85,1.07,0.0299,1,Alice,POTENTIOSTAT-02
CAT-02-146,2,2025-02-13 02:00:00,58.1,28.8,13.1,0.2753,61.6,2.975856172929615e-05,38.46,109.8,25.67,1.14,0.0098,1,Bob,POTENTIOSTAT-02
CAT-02-147,2,2025-02-13 04:00:00,55.9,25.9,18.2,0.2306,72.5,1.4499139554191553e-05,77.72,81.9,24.91,0.94,0.0165,1,Bob,POTENTIOSTAT-02
CAT-02-148,2,2025-02-13 06:00:00,43.7,35.1,21.1,,,,88.11,96.0,24.12,1.01,0.0158,1,Charlie,POTENTIOSTAT-02
CAT-02-149,2,2025-02-13 08:00:00,57.6,18.6,23.8,0.253,96.8,1.2167313966276089e-05,80.16,72.9,24.96,0.87,0.0126,1,Charlie,POTENTIOSTAT-02
CAT-02-150,2,2025-02-13 10:00:00,47.8,22.9,29.3,,,,20.84,84.8,25.34,0.94,0.01,0,Alice,POTENTIOSTAT-02
